LSOA GVA Estimates (millions),Urban_rura,RUC21NM,LU_pct_micro_2025_msoa,LU_pct_small_2025_msoa,LU_pct_medium_2025_msoa,LU_pct_large_2025_msoa,enterprises_per_1k_residents_2025,total_enterprises_2025_msoa,turnover_diversity_1-HHI_2025_msoa,LU_diversity_1-HHI_2025,share_enterprises_creative_2025_msoa,share_enterprises_foundational_2025_msoa,share_enterprises_green_aligned_2025_msoa,share_enterprises_industrial_2025_msoa,share_enterprises_kibs_2025_msoa,share_enterprises_anchor_2025_msoa,share_enterprises_public_2025_msoa,share_enterprises_private_2025_msoa,employment_rate_per_pop,full_to_part_ratio,total_employees,Apprenticeship %,"Level 1 and entry level qualifications: 1 to 4 GCSEs grade A* to C, Any GCSEs at other grades, O levels or CSEs (any grades), 1 AS level, NVQ level 1, Foundation GNVQ, Basic or Essential Skills %","Level 2 qualifications: 5 or more GCSEs (A* to C or 9 to 4), O levels (passes), CSEs (grade 1), School Certification, 1 A level, 2 to 3 AS levels, VCEs, Intermediate or Higher Diploma, Welsh Baccalaureate Intermediate Diploma, NVQ level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First or General Diploma, RSA Diploma %","Level 3 qualifications: 2 or more A levels or VCEs, 4 or more AS levels, Higher School Certificate, Progression or Advanced Diploma, Welsh Baccalaureate Advance Diploma, NVQ level 3; Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma %","Level 4 qualifications or above: degree (BA, BSc), higher degree (MA, PhD, PGCE), NVQ level 4 to 5, HNC, HND, RSA Higher Diploma, BTEC Higher level, professional qualifications (for example, teaching, nursing, accountancy) %",No qualifications %,"Other: vocational or work-related qualifications, other qualifications achieved in England or Wales, qualifications achieved outside England or Wales (equivalent not stated or unknown) %",IMD_decile,Income_decile,Employment_decile,Education_decile,AdultSkills_decile,Percentage of connections receiving less than 10Mbit/s broadband,Average download speed (Mbit/s),Percentage of homes unable to receive at least 30Mbit/s broadband,bus_stop_density,dist_to_primary_m,Mid-2024 population,Working_Age_Pop,Pct_Working_Age,LSOA21CD,LSOA21NM,MSOA21CD,MSOA21NM,area_km2,LU_micro_2025_msoa,LU_small_2025_msoa,LU_medium_2025_msoa,LU_large_2025_msoa,LU_total_2025_msoa,full_time_employees,part_time_employees
77.772,Urban,Urban: Nearer to a major town or city,0.9117647058823528,0.088235294,0.0,0.0,102.59917920656636,150,0.7471383975026015,0.8494809688581314,0.1,0.5666666666666667,0.033333333,0.033333333,0.2666666666666666,0.1,0.0,1.0,0.068399453,1.0,100,6.976744186046512,10.39671682626539,12.038303693570452,13.885088919288648,17.16826265389877,18.80984952120383,3.967168262653898,9,9,8,5,4,0.0,111.1756238,0.0,2.6898130792162727,1005.4758685580172,1462,839,0.5738714090287278,E01015484,Swindon 013D,E02003224,Swindon 013,0.7435460907873708,155,15,0,0,170,50,50
10.289,Urban,Urban: Nearer to a major town or city,0.9117647058823528,0.088235294,0.0,0.0,113.72251705837756,150,0.7471383975026015,0.8494809688581314,0.1,0.5666666666666667,0.033333333,0.033333333,0.2666666666666666,0.1,0.0,1.0,0.045489006823351,0.3333333333333333,60,5.913570887035633,12.736921910538287,15.466262319939348,16.148597422289612,21.455648218347235,13.343442,3.108415466,9,9,8,6,4,0.0,120.5706619,0.0,3.763517741088259,465.8682789449508,1319,893,0.6770280515542078,E01015485,Swindon 013E,E02003224,Swindon 013,0.5314177154434457,155,15,0,0,170,15,45
12.036,Urban,Urban: Nearer to a major town or city,0.9117647058823528,0.088235294,0.0,0.0,102.04081632653062,150,0.7471383975026015,0.8494809688581314,0.1,0.5666666666666667,0.033333333,0.033333333,0.2666666666666666,0.1,0.0,1.0,0.068027211,1.0,100,7.074829932,11.428571428571429,12.925170068027212,12.925170068027212,17.891156462585034,15.44217687,2.857142857142857,7,7,6,4,4,0.0,105.5262646,0.0,9.315328346872684,1046.2204484107483,1470,843,0.573469388,E01015486,Swindon 013F,E02003224,Swindon 013,0.966149518822002,155,15,0,0,170,50,50
7.887,Urban,Urban: Nearer to a major town or city,0.6938775510204082,0.2040816326530612,0.081632653,0.020408163,120.16021361815754,180,0.8348765432098765,0.9072,0.055555556,0.4166666666666667,0.083333333,0.083333333,0.3611111111111111,0.083333333,0.0277777777777777,0.9722222222222222,0.046728972,0.4,70,5.941255006675568,12.683578104138851,15.554072096128172,12.950600801068092,19.492656875834445,16.22162883845127,2.9372496662216285,9,10,9,5,4,0.0,116.5920152,0.0,4.813579580449467,711.8849543723603,1498,923,0.6161548731642189,E01015487,Swindon 023A,E02003234,Swindon 023,0.8309824182083015,170,50,20,5,245,20,50
57.559,Urban,Urban: Nearer to a major town or city,0.6938775510204082,0.2040816326530612,0.081632653,0.020408163,120.32085561497324,180,0.8348765432098765,0.9072,0.055555556,0.4166666666666667,0.083333333,0.083333333,0.3611111111111111,0.083333333,0.0277777777777777,0.9722222222222222,1.570855614973262,0.3428571428571428,2350,4.545454545454546,12.366310160427808,13.302139037433156,11.029411764705882,16.97860962566845,20.12032085561497,2.740641711229946,3,3,3,3,2,0.022222222,112.7090909,2.2,5.229797391614642,543.4796471551538,1496,902,0.6029411764705882,E01015488,Swindon 023B,E02003234,Swindon 023,1.147271978379179,170,50,20,5,245,600,1750
15.488,Urban,Urban: Nearer to a major town or city,0.6938775510204082,0.2040816326530612,0.081632653,0.020408163,123.88162422573986,180,0.8348765432098765,0.9072,0.055555556,0.4166666666666667,0.083333333,0.083333333,0.3611111111111111,0.083333333,0.0277777777777777,0.9722222222222222,0.1720578114246387,1.5,250,4.679972470750172,11.493461803165864,13.695801789401235,14.934618031658635,22.161046111493462,12.801101169993116,2.477632484514797,8,8,7,6,4,0.0,125.4422747,0.0,5.988494378626504,313.4339111086133,1453,835,0.5746730901582932,E01015489,Swindon 023C,E02003234,Swindon 023,1.836855694356169,170,50,20,5,245,150,100
5.126,Urban,Urban: Nearer to a major town or city,0.6938775510204082,0.2040816326530612,0.081632653,0.020408163,144.23076923076923,180,0.8348765432098765,0.9072,0.055555556,0.4166666666666667,0.083333333,0.083333333,0.3611111111111111,0.083333333,0.0277777777777777,0.9722222222222222,0.0360576923076923,1.25,45,6.009615384615385,11.618589743589745,13.461538461538462,15.785256410256409,19.95192307692308,12.580128205128204,2.8846153846153846,7,7,7,5,5,0.0,117.4442222,0.0,2.0052592133422023,323.0892719834755,1248,797,0.6386217948717948,E01015490,Swindon 023D,E02003234,Swindon 023,0.4986886450122733,170,50,20,5,245,25,20
174.488,Urban,Urban: Nearer to a major town or city,0.6938775510204082,0.2040816326530612,0.081632653,0.020408163,129.6829971181556,180,0.8348765432098765,0.9072,0.055555556,0.4166666666666667,0.083333333,0.083333333,0.3611111111111111,0.083333333,0.0277777777777777,0.9722222222222222,1.5489913544668588,0.2285714285714285,2150,5.3314121037463975,14.337175792507203,15.561959654178676,11.959654178674352,15.85014409221902,19.956772334293948,2.521613832853026,3,3,2,3,3,0.0,111.6873394,0.0,4.153884937979576,1046.8507749591913,1388,884,0.6368876080691642,E01015491,Swindon 023E,E02003234,Swindon 023,1.925907943875583,170,50,20,5,245,400,1750
81.796,Urban,Urban: Nearer to a major town or city,0.6938775510204082,0.2040816326530612,0.081632653,0.020408163,132.35294117647058,180,0.8348765432098765,0.9072,0.055555556,0.4166666666666667,0.083333333,0.083333333,0.3611111111111111,0.083333333,0.0277777777777777,0.9722222222222222,0.8272058823529411,0.25,1125,5.661764705882353,14.117647058823527,14.26470588235294,10.147058823529411,15.441176470588236,18.529411764705884,3.4558823529411766,3,3,3,2,2,0.0,115.9776549,0.0,3.467717554218876,1247.4972273331389,1360,892,0.6558823529411765,E01015492,Swindon 023F,E02003234,Swindon 023,1.4418706027302963,170,50,20,5,245,225,900
74.525,Urban,Urban: Nearer to a major town or city,0.8,0.14,0.06,0.0,91.80474697716078,205,0.8350459707950243,0.912,0.097560976,0.5121951219512195,0.048780488,0.048780488,0.3658536585365853,0.024390243902439,0.0238095238095238,0.9761904761904762,0.8732646663681146,0.3,1950,4.164800716524854,11.419614867890733,11.061352440662786,10.165696372592924,23.60053739364084,13.121361397223469,4.523063143752799,6,6,7,5,3,0.0,106.337014,0.0,14.350935291010988,501.4694445590361,2233,1552,0.6950291088222122,E01015493,Swindon 017B,E02003228,Swindon 017,0.7665005643841265,200,35,15,0,250,450,1500
45.818,Urban,Urban: Nearer to a major town or city,0.7969924812030075,0.1654135338345864,0.037593985,0.0,178.84322678843225,470,0.8097506925207756,0.8989349112426035,0.074468085,0.5,0.0106382978723404,0.0106382978723404,0.2978723404255319,0.085106383,0.0105263157894736,0.9894736842105264,0.456621005,1.0,1200,3.500761035,7.800608828006088,8.675799087,9.360730593607306,21.95585997,12.633181126331811,4.718417047,4,4,6,4,3,0.0,89.02990897,42.1,1.722868332,461.5287184773617,2628,1976,0.7519025875190258,E01015494,Swindon 019A,E02003230,Swindon 019,0.5804274078064218,530,110,25,0,665,600,600
21.155,Urban,Urban: Nearer to a major town or city,0.7969924812030075,0.1654135338345864,0.037593985,0.0,229.9412915851272,470,0.8097506925207756,0.8989349112426035,0.074468085,0.5,0.0106382978723404,0.0106382978723404,0.2978723404255319,0.085106383,0.0105263157894736,0.9894736842105264,0.3546966731898239,0.45,725,3.375733855,8.365949119373777,10.518590998043052,12.181996086105675,26.810176125244617,10.861056751467707,3.571428571428571,6,5,7,6,5,0.0,101.892068,4.1,4.196542021009826,468.3976618,2044,1535,0.7509784735812133,E01015496,Swindon 019C,E02003230,Swindon 019,0.2382914301807389,530,110,25,0,665,225,500
11.67,Urban,Urban: Nearer to a major town or city,0.7969924812030075,0.1654135338345864,0.037593985,0.0,273.7332557,470,0.8097506925207756,0.8989349112426035,0.074468085,0.5,0.0106382978723404,0.0106382978723404,0.2978723404255319,0.085106383,0.0105263157894736,0.9894736842105264,0.1310425160163075,0.5,225,4.775771694816541,6.930693069306932,9.959231217,11.64822365,29.586488060570765,13.10425160163075,1.805474665,6,6,6,6,6,0.0,106.6406305,0.0,2.194102881193061,172.7928399942878,1717,1214,0.7070471753057659,E01015497,Swindon 019D,E02003230,Swindon 019,0.4557671422664747,530,110,25,0,665,75,150
8.954,Urban,Urban: Nearer to a major town or city,0.8955223880597015,0.074626866,0.0298507462686567,0.0,167.5184554230551,295,0.7657550535077289,0.9048442906574394,0.135593220338983,0.423728814,0.033898305,0.033898305,0.4067796610169492,0.06779661,0.0,1.0,0.0340715502555366,0.5,60,4.202157864849517,9.142532651902329,13.344690516751845,14.310051107325384,28.22260079500284,10.107893242475866,1.6467915956842702,8,7,7,6,6,0.0,100.0952998,0.0,6.169362677877656,147.53307489562388,1761,1254,0.7120954003407155,E01015498,Swindon 021B,E02003232,Swindon 021,0.6483651892185489,300,25,10,0,335,20,40
19.464,Urban,Urban: Nearer to a major town or city,0.96,0.04,0.0,0.0,84.31085044,115,0.7326388888888888,0.8854166666666667,0.1739130434782608,0.5217391304347826,0.0,0.0,0.3478260869565217,0.0434782608695652,0.0,1.0,0.1832844574780058,0.6666666666666666,250,4.838709677419355,9.824046920821116,14.516129032258066,15.02932551319648,27.27272727272727,9.237536656891496,2.272727272727273,9,8,9,7,7,0.0,123.7228111,0.0,2.7996293755853467,866.0690107060287,1364,884,0.6480938416422287,E01015499,Swindon 018A,E02003229,Swindon 018,0.7143802738467265,120,5,0,0,125,100,150
6.596,Urban,Urban: Nearer to a major town or city,0.96,0.04,0.0,0.0,81.21468926553672,115,0.7326388888888888,0.8854166666666667,0.1739130434782608,0.5217391304347826,0.0,0.0,0.3478260869565217,0.0434782608695652,0.0,1.0,0.021186441,0.5,30,4.872881355932203,10.805084745762713,15.819209039548024,15.254237288135592,21.610169491525426,14.83050847457627,3.389830508474576,8,7,8,5,4,0.0,103.3965889,0.0,6.816384276998757,749.7519464334098,1416,1008,0.711864407,E01015500,Swindon 018B,E02003229,Swindon 018,0.586821376,120,5,0,0,125,10,20
410.402,Urban,Urban: Nearer to a major town or city,0.7671232876712328,0.1643835616438356,0.04109589,0.02739726,198.96831245394253,270,0.8415637860082306,0.9290123456790124,0.074074074,0.3703703703703703,0.2037037037037037,0.055555556,0.2962962962962963,0.074074074,0.0,1.0,1.694915254237288,0.15,2300,3.905674281503317,8.695652173913043,15.327929255711128,14.66470154753132,22.10759027266028,12.60132645541636,3.5372144436256447,9,9,9,6,5,0.0,117.4592191,0.0,3.0286521216651128,10.021361621481317,1357,841,0.6197494473102432,E01015501,Swindon 022A,E02003233,Swindon 022,1.3207195278013155,280,60,15,10,365,300,2000
6.456,Urban,Urban: Nearer to a major town or city,0.7671232876712328,0.1643835616438356,0.04109589,0.02739726,172.3037651563497,270,0.8415637860082306,0.9290123456790124,0.074074074,0.3703703703703703,0.2037037037037037,0.055555556,0.2962962962962963,0.074074074,0.0,1.0,0.019144863,0.5,30,3.765156349712827,11.48691767708998,12.25271218889598,12.699425654116144,16.14550095724314,15.379706445437142,3.892788768,3,2,3,3,3,0.0,101.7996086,0.0,12.026243586471663,774.5460638524436,1567,1004,0.6407147415443523,E01015502,Swindon 022B,E02003233,Swindon 022,0.5820603873244601,280,60,15,10,365,10,20
3412.047,Urban,Urban: Nearer to a major town or city,0.7671232876712328,0.1643835616438356,0.04109589,0.02739726,208.1727062451812,270,0.8415637860082306,0.9290123456790124,0.074074074,0.3703703703703703,0.2037037037037037,0.055555556,0.2962962962962963,0.074074074,0.0,1.0,3.623747108712413,0.175,4700,4.703161141094834,11.64225134926754,12.41326137239784,13.41557440246723,15.265998457979954,20.81727062451812,3.084040092521203,3,2,2,2,1,0.0,94.23605578,0.0,7.878181919277383,165.42453054812304,1297,842,0.6491904394757132,E01015503,Swindon 022C,E02003233,Swindon 022,1.9039925903838304,280,60,15,10,365,700,4000
19.464,Urban,Urban: Nearer to a major town or city,0.96,0.04,0.0,0.0,91.63346613545816,115,0.7326388888888888,0.8854166666666667,0.1739130434782608,0.5217391304347826,0.0,0.0,0.3478260869565217,0.0434782608695652,0.0,1.0,0.099601594,0.6666666666666666,125,3.346613545816733,9.402390438247012,15.458167330677291,17.689243027888445,28.764940239043824,8.525896414342629,1.7529880478087652,9,8,9,8,7,0.0,124.8427918,0.0,2.323415022445219,1549.1769272189044,1255,890,0.7091633466135459,E01015504,Swindon 018C,E02003229,Swindon 018,3.012806550864524,120,5,0,0,125,50,75
7.027,Urban,Urban: Nearer to a major town or city,0.96,0.04,0.0,0.0,80.25122121423587,115,0.7326388888888888,0.8854166666666667,0.1739130434782608,0.5217391304347826,0.0,0.0,0.3478260869565217,0.0434782608695652,0.0,1.0,0.0348918353105373,0.25,50,4.466154919748779,9.979064898813675,15.491974877878576,16.329378925331472,20.865317515701324,12.97976273551989,2.5122121423586883,5,4,4,4,4,0.0,115.2594843,0.0,6.453112520789884,1390.2141385618506,1433,1050,0.732728542,E01015505,Swindon 018D,E02003229,Swindon 018,0.7748199003026189,120,5,0,0,125,10,40
15.447,Urban,Urban: Nearer to a major town or city,0.92,0.08,0.0,0.0,70.14028056112224,105,0.756198347,0.8582230623818525,0.0476190476190476,0.6666666666666666,0.0476190476190476,0.0476190476190476,0.1904761904761904,0.0476190476190476,0.0,1.0,0.1336005344021376,1.0,200,4.542418169672679,11.75684702738811,11.890447561790248,11.957247828991315,14.228456913827657,24.38209752839012,3.406813627254509,2,2,2,1,1,0.0,118.1504367,0.0,12.799857845078163,388.5648347218318,1497,992,0.6626586506346025,E01015506,Swindon 007A,E02003218,Swindon 007,0.7031328088898038,115,10,0,0,125,100,100
6.181,Urban,Urban: Nearer to a major town or city,0.92,0.08,0.0,0.0,64.02439024390245,105,0.756198347,0.8582230623818525,0.0476190476190476,0.6666666666666666,0.0476190476190476,0.0476190476190476,0.1904761904761904,0.0476190476190476,0.0,1.0,0.0182926829268292,0.2,30,3.536585365853658,12.682926829268292,13.414634146341465,8.536585365853659,10.48780487804878,21.52439024390244,2.682926829268293,1,1,1,1,1,0.0,117.7584521,0.0,13.633771148340523,921.2440474385584,1640,1058,0.6451219512195122,E01015507,Swindon 007B,E02003218,Swindon 007,0.513430945,115,10,0,0,125,5,25
6.604,Urban,Urban: Nearer to a major town or city,0.7555555555555555,0.2,0.0444444444444444,0.0,217.957059206246,335,0.841308594,0.918646694,0.044776119,0.5970149253731343,0.1044776119402985,0.1044776119402985,0.1940298507462686,0.059701493,0.0,1.0,0.07482108,0.5333333333333333,115,4.879635653871177,12.62199089134678,11.320754716981131,9.564085882,13.337670787247886,23.812621990891348,3.5783994795055305,2,2,2,1,1,0.0,105.1125257,0.0,2.0593263223379594,793.2143997797998,1537,1018,0.6623292127521145,E01015508,Swindon 010A,E02003221,Swindon 010,0.9711913931782284,340,90,20,0,450,40,75
706.386,Urban,Urban: Nearer to a major town or city,0.7555555555555555,0.2,0.0444444444444444,0.0,176.3157894736842,335,0.841308594,0.918646694,0.044776119,0.5970149253731343,0.1044776119402985,0.1044776119402985,0.1940298507462686,0.059701493,0.0,1.0,2.3157894736842106,0.2571428571428571,4400,4.894736842105263,12.63157894736842,10.842105263157894,10.894736842105262,16.94736842105263,15.68421052631579,2.684210526,5,5,6,3,2,0.0,100.3940157,0.0,4.748834014989907,268.88693127713776,1900,1326,0.6978947368421052,E01015509,Swindon 010B,E02003221,Swindon 010,2.737514084292043,340,90,20,0,450,900,3500
37.88,Urban,Urban: Nearer to a major town or city,0.7555555555555555,0.2,0.0444444444444444,0.0,148.62466725820764,335,0.841308594,0.918646694,0.044776119,0.5970149253731343,0.1044776119402985,0.1044776119402985,0.1940298507462686,0.059701493,0.0,1.0,0.3771073646850044,1.4285714285714286,850,4.436557231588288,14.241348713398402,11.88997338065661,8.784383319,15.794143744454304,18.899733806566104,4.614019520851819,3,4,4,2,1,0.0,97.41528752,0.0,7.167473634044686,143.14020880710217,2254,1577,0.6996450754214729,E01015510,Swindon 010C,E02003221,Swindon 010,1.1161533907848518,340,90,20,0,450,500,350
9.168,Urban,Urban: Nearer to a major town or city,0.7555555555555555,0.2,0.0444444444444444,0.0,173.93561786085152,335,0.841308594,0.918646694,0.044776119,0.5970149253731343,0.1044776119402985,0.1044776119402985,0.1940298507462686,0.059701493,0.0,1.0,0.049325026,0.9,95,4.932502596053999,12.668743509865005,11.941848390446522,9.709241952232608,15.939771547248183,17.601246105919003,4.205607476635514,5,5,5,3,2,0.0,120.2782288,0.7,12.565852105046565,760.4797281,1926,1331,0.6910695742471443,E01015511,Swindon 010D,E02003221,Swindon 010,0.3979037759000803,340,90,20,0,450,45,50
11.147,Urban,Urban: Nearer to a major town or city,0.8448275862068966,0.1206896551724138,0.0344827586206896,0.0,145.10278113663847,240,0.7708333333333334,0.8961111111111111,0.1666666666666666,0.3958333333333333,0.0208333333333333,0.0208333333333333,0.4583333333333333,0.083333333,0.0,1.0,0.075574365,0.6666666666666666,125,3.990326481257558,8.827085852478838,12.333736396614269,14.631197097944376,28.89963724304716,7.134220072551391,1.5114873035066507,10,10,10,8,8,0.0,133.0051081,0.0,0.9915722001142164,705.9989796888962,1654,1143,0.6910519951632407,E01015512,Swindon 028C,E02006849,Swindon 028,1.0084994313927045,245,35,10,0,290,50,75
