LSOA21CD,MSOA21CD,cluster,cluster_name,cluster_description,log_total_GVA_2023
E01015503,E02003233,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,8.13536072
E01015504,E02003229,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,3.018667245
E01015505,E02003229,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.082810859
E01015506,E02003218,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.80014309
E01015507,E02003218,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",1.971438649
E01015508,E02003221,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.028674425
E01015509,E02003221,3,High-RV compact workplace,Small n=5 group with extreme RV per working-age; high GVA workplace cores,6.561576486
E01015510,E02003221,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.66047998
E01015511,E02003221,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.319245534
E01015512,E02006849,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.497082226
E01015513,E02003215,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.204531153
E01015514,E02003215,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.033790196
E01015515,E02003215,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",1.833061349
E01015516,E02003215,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.271430324
E01015517,E02003215,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.10632687
E01015518,E02006849,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.252238719
E01015519,E02003212,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,2.840889688
E01015520,E02003212,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,3.874985507
E01015521,E02003212,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,4.555486122
E01015522,E02003212,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,2.056300849
E01015523,E02003212,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,3.094943924
E01015524,E02003212,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,1.78791877
E01015525,E02006847,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.131322164
E01015526,E02003217,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.310255599
E01015527,E02003218,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.370119426
E01015528,E02003217,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.337855707
E01015529,E02003217,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.740065531
E01015530,E02003217,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.079245874
E01015532,E02003232,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,3.264728345
E01015533,E02003235,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.498645176
E01015534,E02003235,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",4.415400964
E01015535,E02003235,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,5.873736197
E01015537,E02003231,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.912078889
E01015538,E02003231,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.479223867
E01015539,E02003231,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",1.968649636
E01015540,E02003231,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.668824155
E01015541,E02003231,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.766507771
E01015542,E02003231,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",1.850342793
E01015543,E02003214,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.639343003
E01015544,E02003214,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.048337797
E01015545,E02003214,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.122979844
E01015546,E02003214,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.05796251
E01015547,E02003219,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",5.758930165
E01015548,E02003219,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",5.758930165
E01015549,E02003220,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,6.128614385
E01015550,E02003220,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.886787245
E01015551,E02003220,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,6.128614385
E01015552,E02003220,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,5.225268065
E01015553,E02003220,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.484072969
E01015554,E02003220,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.507320245
E01015555,E02003216,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.54764668
E01015556,E02003216,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.243021947
E01015557,E02003216,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.229578348
E01015558,E02003216,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.204531153
E01015559,E02003216,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.540656665
E01015560,E02003216,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.079567779
E01015561,E02003225,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",5.532879477
E01015562,E02003222,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.988657305
E01015563,E02003222,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.287775977
E01015564,E02003225,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",5.532879477
E01015565,E02003222,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.791901033
E01015566,E02003222,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.564564668
E01015567,E02003225,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.612808017
E01015568,E02003225,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",6.257569882
E01015569,E02003233,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.254860539
E01015570,E02003233,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.254860539
E01015571,E02003233,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.333211287
E01015572,E02003227,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.525328564
E01015573,E02003227,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.634212053
E01015574,E02003228,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,2.916634952
E01015575,E02003227,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",3.460032167
E01015576,E02003228,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,4.324463727
E01015578,E02003223,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,5.31776699
E01015579,E02003223,4,Mid SME / mixed residential,Moderate SME density and mid-high mean log GVA; mixed residential–enterprise profile,3.307948409
E01015580,E02003218,1,Deprived low-enterprise residential,"Largest cluster; lowest SME density, qualifications and mean log GVA; high outbound commute",2.453243969
E01015581,E02003223,3,High-RV compact workplace,Small n=5 group with extreme RV per working-age; high GVA workplace cores,5.411422813
E01015582,E02003223,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",4.65644298
E01015584,E02003236,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,2.638199819
E01015585,E02003236,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,4.249865731
E01015586,E02003236,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,2.258215145
E01015587,E02003236,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,3.327407308
E01015588,E02003236,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,2.783343185
E01032700,E02006847,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.230229431
E01032701,E02006848,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.408115594
E01032702,E02006848,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.611686133
E01032703,E02006847,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.165275142
E01032704,E02006848,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.696180029
E01032705,E02006847,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.180982271
E01032706,E02003232,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.272641217
E01032707,E02003232,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,3.735953861
E01032708,E02003223,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",4.318674077
E01032709,E02006847,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.248551205
E01032710,E02006849,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",4.514041253
E01032711,E02006848,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.408115594
E01032712,E02006848,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,3.039605608
E01032713,E02006847,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,3.153504957
E01032714,E02003230,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",4.824538621
E01032715,E02003230,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",4.061029046
E01032716,E02003223,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",4.934488322
E01033841,E02003219,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",5.758930165
E01033843,E02003219,0,Employment & enterprise hub,"Highest mean log GVA; high SME density, employment quality and inbound commute share",5.758930165
E01033845,E02003226,3,High-RV compact workplace,Small n=5 group with extreme RV per working-age; high GVA workplace cores,3.035241407
E01033846,E02003226,3,High-RV compact workplace,Small n=5 group with extreme RV per working-age; high GVA workplace cores,3.035241407
E01033847,E02003235,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,4.415400964
E01033848,E02003235,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,4.415400964
E01033849,E02003236,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,2.783343185
E01033850,E02003236,5,Moderate-skill local-work residential,Mid SME density and qualifications; lower inbound commute than hub clusters,2.783343185
E01033860,E02006849,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.646564792
E01033861,E02006849,2,High-skilled outbound residential,Highest qualification and WFH shares; high outbound commute; mid-low GVA,2.646564792
